City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Labis,MY,2022-05-08 22:49:24,2.385,103.021,76.69,94,99,3.0
67,Manjakandriana,MG,2022-05-08 22:49:25,-18.9167,47.8,62.29,96,12,0.07
68,Clyde River,CA,2022-05-08 22:49:25,70.4692,-68.5914,26.83,93,100,12.66
69,Turukhansk,RU,2022-05-08 22:49:26,65.8167,87.9833,11.77,95,51,3.13
70,Cherskiy,RU,2022-05-08 22:49:27,68.75,161.3,26.94,87,100,15.52
71,Kloulklubed,PW,2022-05-08 22:49:27,7.0419,134.2556,75.7,85,100,18.86
72,Erenhot,CN,2022-05-08 22:49:28,43.6475,111.9767,55.17,21,22,13.76
73,Aklavik,CA,2022-05-08 22:49:28,68.2191,-135.0107,44.06,66,25,7.65
74,Avarua,CK,2022-05-08 22:49:29,-21.2078,-159.775,87.85,74,40,6.91
75,Burnie,AU,2022-05-08 22:49:29,-41.0667,145.9167,52.95,71,65,2.57
76,Bathsheba,BB,2022-05-08 22:49:30,13.2167,-59.5167,81.21,78,20,16.11
77,Butaritari,KI,2022-05-08 22:49:30,3.0707,172.7902,82.09,77,14,19.42
78,Pafos,CY,2022-05-08 22:49:31,34.7667,32.4167,64.18,42,0,6.91
79,Grants,US,2022-05-08 22:49:32,35.1473,-107.8514,77.23,10,0,20.71
80,Carnarvon,AU,2022-05-08 22:49:32,-24.8667,113.6333,60.87,94,0,8.05
81,Saskylakh,RU,2022-05-08 22:49:33,71.9167,114.0833,9.91,94,93,13.33
82,Dakar,SN,2022-05-08 22:47:02,14.6937,-17.4441,70.68,94,40,4.61
83,Yatou,CN,2022-05-08 22:49:33,37.15,122.3833,51.84,75,68,7.25
84,Arraial Do Cabo,BR,2022-05-08 22:49:34,-22.9661,-42.0278,73.26,68,40,3.44
85,Khasan,RU,2022-05-08 22:49:35,42.4308,130.6434,52.9,44,5,7.83
86,Tuatapere,NZ,2022-05-08 22:45:51,-46.1333,167.6833,54.34,87,100,2.93
87,Bethel,US,2022-05-08 22:49:35,41.3712,-73.414,56.64,42,100,5.99
88,Ternate,ID,2022-05-08 22:49:36,0.8,127.4,82.24,80,99,3.58
89,Yulara,AU,2022-05-08 22:49:37,-25.2406,130.9889,48.04,46,100,6.91
90,Jamestown,US,2022-05-08 22:49:37,42.097,-79.2353,65.84,16,0,0.0
91,Vila,PT,2022-05-08 22:49:38,42.0304,-8.1588,58.08,64,50,2.86
