City_ID,City,Max Temp,Lat,Lng,Hotel Name
451,Tadine,76.24,-21.55,167.8833,
453,Pedasi,79.07,7.5333,-80.0333,
455,Lae,90.27,-6.7221,146.9847,
456,Banda Aceh,86.47,5.5577,95.3222,
457,Pathein,81.43,16.7833,94.7333,
458,The Valley,80.46,18.217,-63.0578,
463,Kieta,85.1,-6.2167,155.6333,
465,Hopelchen,85.33,19.7667,-89.85,
472,Baghmara,91.4,23.795,86.2085,
473,Kokopo,85.44,-4.352,152.2633,
475,Luis Correia,77.05,-2.8792,-41.6669,
477,Bathsheba,79.41,13.2167,-59.5167,
478,Adrar,82.33,20.5022,-10.0711,
479,Midland,83.07,31.9974,-102.0779,
482,Mount Isa,82.17,-20.7333,139.5,
484,Samarai,83.66,-10.6167,150.6667,
485,Dwarka,84.52,22.2394,68.9678,
486,Bengkulu,86.74,-3.8004,102.2655,
487,Moerai,78.64,-22.4333,-151.3333,
488,Innisfail,77.45,-17.5333,146.0333,
492,Hirara,76.86,24.8,125.2833,
498,Salinopolis,75.36,-0.6136,-47.3561,
502,Ambanja,75.13,-13.6833,48.45,
511,Buala,83.19,-8.145,159.5921,
512,San Pedro,91.35,14.35,121.0167,
513,Port Blair,86.04,11.6667,92.75,
515,Doha,82.38,25.2867,51.5333,
519,Karachi,85.82,24.9056,67.0822,
527,Tucumcari,82.24,35.1717,-103.725,
531,Luanda,77.0,-8.8368,13.2343,
535,Bama,87.75,11.5221,13.6856,
540,Aitape,86.34,-3.1374,142.3475,
546,Panguna,80.46,-6.3164,155.4848,
549,Porto Novo,78.4,6.4965,2.6036,
554,Churachandpur,80.55,24.3333,93.6667,
555,Kathu,85.69,7.9178,98.3332,
558,Bilma,85.46,18.6853,12.9164,
568,Cozumel,79.95,20.5083,-86.9458,
570,Kihei,78.82,20.785,-156.4656,
575,Noumea,78.78,-22.2763,166.4572,
579,Antalaha,78.26,-14.9003,50.2788,
583,Harper,77.23,4.375,-7.7169,
584,Saint-Joseph,75.58,-21.3667,55.6167,
585,Tambilil,84.09,5.9622,124.6697,
592,Kirakira,83.26,-10.4544,161.9205,
596,Kiunga,87.46,-6.1219,141.2906,
601,Qui Nhon,83.7,13.7667,109.2333,
605,Tiznit,76.5,29.5833,-9.5,
606,Shieli,83.71,44.1667,66.75,
609,Venice,77.02,27.0998,-82.4543,
610,Sorong,83.97,-0.8833,131.25,
615,Crateus,75.24,-5.1783,-40.6775,
625,Lazaro Cardenas,75.36,17.9583,-102.2,
636,Sainte-Rose,77.04,16.3324,-61.6979,
637,Kahului,78.82,20.8947,-156.47,
641,Savannah Bight,82.65,16.45,-85.85,
642,Waingapu,86.81,-9.6567,120.2641,
