City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Marawi,7.9986,124.2928,78.84,76,100,4.34
103,Godda,24.8333,87.2167,92.95,41,0,7.99
104,Kulhudhuffushi,6.6221,73.07,85.1,71,100,17.34
105,Souillac,-20.5167,57.5167,75.58,88,20,3.44
106,Ribeira Grande,38.5167,-28.7,63.03,89,98,5.08
107,Lavrentiya,65.5833,-171.0,33.35,88,93,6.78
108,Ormara,25.2088,64.6357,82.33,77,0,14.32
109,Padang,-0.9492,100.3543,89.65,62,44,4.97
110,Talara,-4.5772,-81.2719,68.56,80,100,19.77
111,Sampit,-2.5333,112.95,75.97,98,100,1.52
112,Saint-Philippe,-21.3585,55.7679,76.59,80,38,7.31
113,Iqaluit,63.7506,-68.5145,29.93,80,75,4.61
114,Pipri,19.8,75.5333,96.78,17,100,22.79
115,Tuatapere,-46.1333,167.6833,52.74,88,100,7.83
116,Panaba,21.2833,-88.2667,80.55,78,2,10.54
117,Sabha,27.0377,14.4283,64.98,35,0,10.25
118,Maridi,4.9158,29.4742,67.95,97,100,7.07
119,Guerrero Negro,27.9769,-114.0611,59.27,79,1,18.57
120,Ayan,56.45,138.1667,35.69,78,26,7.52
121,Mahebourg,-20.4081,57.7,77.25,88,20,3.44
122,Shenzhen,22.5455,114.0683,82.35,87,99,2.06
123,Iralaya,15.0,-83.2333,81.05,82,7,12.41
124,Namibe,-15.1961,12.1522,74.25,52,0,8.9
125,Lakes Entrance,-37.8811,147.981,61.16,59,7,4.97
126,Sao Joao Da Barra,-21.6403,-41.0511,68.86,80,50,7.36
127,Sao Luis De Montes Belos,-16.525,-50.3722,66.6,76,26,2.62
128,Kodiak,57.79,-152.4072,47.71,49,0,11.5
129,Abha,18.2164,42.5053,66.02,52,0,0.0
130,Port Alfred,-33.5906,26.891,61.2,80,100,5.99
131,Nogliki,51.8333,143.1667,32.86,99,100,14.72
132,Arraial Do Cabo,-22.9661,-42.0278,72.28,69,46,8.25
133,Tiksi,71.6872,128.8694,16.74,81,22,4.52
134,Quatre Cocos,-20.2078,57.7625,77.09,82,21,6.49
135,Eureka,40.8021,-124.1637,48.92,69,71,1.01
136,Cocorit,27.5833,-109.9667,76.91,28,0,5.93
137,Puerto Ayora,-0.7393,-90.3518,71.29,92,80,4.45
138,Miri,4.4148,114.0089,81.79,84,100,7.4
139,Ballachulish,56.6774,-5.1308,56.41,80,100,5.99
